current_version,week_start,stagger,cumulative_cells,stagger_total_cells,pct_of_stagger
262.15,2026-03-23,SB1,0,268,0.0
262.15,2026-03-30,R0,0,9,0.0
262.15,2026-03-30,R1,1,113,0.9
262.15,2026-03-30,R2a,0,472,0.0
262.15,2026-03-30,R2b,0,119,0.0
262.15,2026-03-30,SB0,3,16,18.8
262.15,2026-03-30,SB1,1,268,0.4
262.15,2026-04-06,R0,0,9,0.0
262.15,2026-04-06,R1,1,113,0.9
262.15,2026-04-06,R2a,0,472,0.0
262.15,2026-04-06,R2b,0,119,0.0
262.15,2026-04-06,SB0,3,16,18.8
262.15,2026-04-06,SB1,1,268,0.4
262.15,2026-04-13,R0,0,9,0.0
262.15,2026-04-13,R1,1,113,0.9
262.15,2026-04-13,R2a,0,472,0.0
262.15,2026-04-13,R2b,0,119,0.0
262.15,2026-04-13,SB0,9,16,56.3
262.15,2026-04-13,SB1,5,268,1.9
262.15,2026-04-20,R0,0,9,0.0
262.15,2026-04-20,R1,1,113,0.9
262.15,2026-04-20,R2a,0,472,0.0
262.15,2026-04-20,R2b,0,119,0.0
262.15,2026-04-20,SB0,9,16,56.3
262.15,2026-04-20,SB1,5,268,1.9
262.15,2026-04-27,R0,0,9,0.0
262.15,2026-04-27,R1,1,113,0.9
262.15,2026-04-27,R2a,3,472,0.6
262.15,2026-04-27,R2b,1,119,0.8
262.15,2026-04-27,SB0,9,16,56.3
262.15,2026-04-27,SB1,5,268,1.9
262.15,2026-05-04,R0,0,9,0.0
262.15,2026-05-04,R1,1,113,0.9
262.15,2026-05-04,R2a,3,472,0.6
262.15,2026-05-04,R2b,1,119,0.8
262.15,2026-05-04,SB0,9,16,56.3
262.15,2026-05-04,SB1,66,268,24.6
262.15,2026-05-11,R0,0,9,0.0
262.15,2026-05-11,R1,1,113,0.9
262.15,2026-05-11,R2a,3,472,0.6
262.15,2026-05-11,R2b,2,119,1.7
262.15,2026-05-11,SB0,9,16,56.3
262.15,2026-05-11,SB1,100,268,37.3
262.15,2026-05-18,R0,9,9,100.0
262.15,2026-05-18,R1,28,113,24.8
262.15,2026-05-18,R2a,99,472,21.0
262.15,2026-05-18,R2b,31,119,26.1
262.15,2026-05-18,SB0,9,16,56.3
262.15,2026-05-18,SB1,194,268,72.4
